Salt_percentage,R_core_mm,Polymer_thickness_mm,PCL_fraction,Chi_fraction,a,b,c,d,t_cross_days,dataset
5,0.1665,0.0635,0.05,0.95,0.412982892468484,-0.00117203439146073,-0.00527354776227961,-0.00525778930793448,0,1
5,0.2114,0.0186,0.7064,0.2936,1.59012843253591,-0.00296345936764786,-0.0162747915059826,-0.0284054890795153,192.038401370742,1
5,0.1594,0.0706,0.8557,0.1443,0.408224048292314,-0.00121796268557536,-0.0015148291837391,-0.0162098578572646,0,1
5,0.1975,0.0325,0.576,0.424,0.9165683604029,-0.0018588871116086,-0.00999393662226016,-0.0110655090270378,4.13702346153045,1
5,0.215,0.015,0.95,0.05,2.06689653872779,-0.00375015448985089,-0.0195211882360388,-0.0484411415687289,221.699738878619,1
5,0.1478,0.0822,0.2694,0.7306,0.304296926131206,-0.00109204560671505,-0.00104200479626937,-0.0128363609137422,0,1
5,0.2245,0.0055,0.4333,0.5667,3.81103302251361,-0.00897013469952369,-0.0642447979472588,-0.0452657135698394,160.890755286209,1
5,0.1889,0.0411,0.1613,0.8387,0.684232746225782,-0.00150202670739907,-0.00745265771060068,-0.00807807687651808,0,1
5,0.1741,0.0559,0.3518,0.6482,0.492945792272468,-0.00126907646444988,-0.00299425554360686,-0.00965228446761699,0,1
5,0.1833,0.0467,0.7743,0.2257,0.645574791118214,-0.00147191353336398,-0.00322024493355146,-0.0202442803342376,0,1
7.5,0.1665,0.0635,0.0565,0.9435,0.242147310871817,-0.000778794472140807,0,-0.000778794472140812,0,1
7.5,0.2114,0.0186,0.7064,0.2936,1.56626395685331,-0.00351057910648172,-0.0270858374249362,-0.0231712794235109,157.601683699381,1
7.5,0.1594,0.0706,0.8557,0.1443,0.558046746631366,-0.0018613047664263,-0.00487810522127593,-0.015902974824865,0,1
7.5,0.1975,0.0325,0.576,0.424,-0.00141345215578106,0.0056824008158959,0.814502188139513,-0.00170960722719897,0,1
7.5,0.215,0.015,0.95,0.05,2.41557856541698,-0.00770172152327691,-0.0885147702495533,-0.070965459182673,128.190603698755,1
7.5,0.1478,0.0822,0.2694,0.7306,0.204241288191116,-0.00074248754084765,-0.00037378867468787,-0.0106870155679699,0,1
7.5,0.2245,0.0055,0.4333,0.5667,2.49148517689132,-0.00738292533790688,-0.0288654179770734,-0.0486200953625768,137.912844910312,1
7.5,0.1889,0.0411,0.1613,0.8387,0.431395723973646,-0.000956318007930974,-0.00273840045906091,-0.00607179699710618,0,1
7.5,0.1741,0.0559,0.3518,0.6482,0.355365893763606,-0.000932401834834636,-0.000763334274387403,-0.0166805816009282,0,1
7.5,0.1833,0.0467,0.7743,0.2257,0.75302465193979,-0.00192449295466519,-0.00698940614814837,-0.0162081307526899,0,1
5,0.2208,0.0092,0.95,0.05,2.89580651841374,-0.00582341059258193,-0.0437639267429832,-0.0446714958407912,200.675865377352,2
5,0.215,0.015,1,0,1.95007592178517,-0.00372704209465049,-0.025990691040284,-0.0373698999297979,207.461144187604,3
5,0.217,0.013,0.79,0.21,1.95007592178517,-0.00372704209465049,-0.025990691040284,-0.0373698999297979,219,4
5,0.217,0.013,0.81,0.19,2.19282338250317,-0.00413721254857592,-0.0263675055630973,-0.0467609705312803,215.253431784584,5
5,0.216,0.014,0.83,0.17,2.05621267280498,-0.0038768342246073,-0.0245272901180265,-0.0454850035306567,213.118376853917,6
5,0.217,0.013,0.72,0.28,2.20093441853282,-0.00412859772538308,-0.0642024180162607,-0.0163940023995201,216.097718163485,7
5,0.216,0.014,0.01,0.99,1.92143612029965,-0.00351776534920422,-0.0331935081760209,-0.0233645585363362,215.53275842798,8
5,0.216,0.014,0.33,0.67,1.97481107301287,-0.00364666581857981,-0.0283996610424757,-0.0313932190263588,215.483645256876,9
5,0.213,0.017,0.01,0.99,1.60145368243032,-0.00295080287871401,-0.0167442227161429,-0.0273665900403211,195.263260365554,10
5,0.218,0.012,0.01,0.99,2.23226412198666,-0.00411631421215455,-0.0982143616643576,-0.0124296774979333,218.939430265187,11
7.5,0.219,0.011,0.65,0.35,2.08219462636908,-0.00514290149823394,-0.0261555959325305,-0.05173820321289,163.094057337198,2
7.5,0.218,0.012,0.64,0.36,1.98308095204321,-0.00467629502881968,-0.0513131760087632,-0.0263078377408165,168.796089833822,3
7.5,0.216,0.014,0.56,0.44,2.10989752019545,-0.00391945818120333,-0.448461729983422,-0.00604740091189728,177.172732005778,4
7.5,0.216,0.014,0.42,0.58,1.63080042873901,-0.00318680651450871,-0.188785352363306,-0.00621392200191239,163.569235940508,5
7.5,0.215,0.015,0.58,0.42,1.79758010382001,-0.00364849900752497,-0.190838492360469,-0.00721895143256015,173.485240556833,6
7.5,0.2209,0.0091,0.01,0.99,1.53556298886833,-0.00298228987061736,-0.0152946732471096,-0.0295846151874807,179.114947163046,7
7.5,0.2269,0.0031,0.01,0.99,2.69445776933845,-0.00848557578941796,-0.0333461822916588,-0.0528092521208226,129.221309675474,8
7.5,0.216,0.014,0.01,0.99,1.10843762772255,-0.0020225457959777,-0.0152922054346864,-0.0112782580032616,100.2915818013,9
7.5,0.219,0.011,0.46,0.54,1.82190840177913,-0.00391479300953223,-0.0245350843745144,-0.0403671247555696,180.143904736594,10
7.5,0.219,0.011,0.45,0.55,1.80612484039097,-0.00386657131549566,-0.023992102672205,-0.0395059017092838,180.139561138338,11
